City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Laguna,US,38.421,-121.4238,102.63,23,0,8.05,clear sky
80,Dikson,RU,73.5069,80.5464,32.79,88,79,17.58,broken clouds
81,Kuah,MY,6.3265,99.8432,78.78,94,20,3.44,few clouds
82,High Rock,BS,26.6208,-78.2833,84.22,68,7,8.79,light rain
83,Sijunjung,ID,-0.6876,100.9537,71.46,89,89,1.88,overcast clouds
84,Lebu,CL,-37.6167,-73.65,51.8,91,93,7.38,overcast clouds
85,Samarai,PG,-10.6167,150.6667,80.74,83,91,14.61,overcast clouds
86,Dukat,RU,62.55,155.55,69.21,49,23,5.97,few clouds
87,Leningradskiy,RU,69.3833,178.4167,37.53,86,100,10.11,overcast clouds
88,Cape Town,ZA,-33.9258,18.4232,58.37,78,0,14.0,clear sky
89,Sal Rei,CV,16.1833,-22.9167,72.84,81,45,20.02,scattered clouds
90,Agboville,CI,5.928,-4.2132,72.84,98,58,3.0,broken clouds
91,Honiara,SB,-9.4333,159.95,79.83,81,34,8.43,scattered clouds
92,Pierre,US,44.3683,-100.351,80.85,36,0,11.5,clear sky
93,Pisco,PE,-13.7,-76.2167,64.45,77,87,8.05,overcast clouds
94,Ancud,CL,-41.8697,-73.8203,43.75,78,0,7.54,clear sky
95,Villamontes,BO,-21.25,-63.5,71.92,46,95,5.37,overcast clouds
96,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,10.36,clear sky
97,Nikolskoye,RU,59.7035,30.7861,69.69,64,1,4.43,clear sky
98,Hermanus,ZA,-34.4187,19.2345,50.81,75,4,10.96,clear sky
99,Blitar,ID,-8.0983,112.1681,73.06,94,73,7.52,broken clouds
100,Khromtau,KZ,50.2503,58.4347,60.17,57,56,8.23,broken clouds
101,Hamilton,US,39.1834,-84.5333,86.63,67,40,12.66,scattered clouds
102,Banmankhi,IN,25.8833,87.1833,81.82,83,100,6.22,overcast clouds
103,Bonney Lake,US,47.1771,-122.1865,94.78,38,0,0.0,clear sky
104,Saint-Philippe,RE,-21.3585,55.7679,63.99,66,0,5.19,clear sky
105,Aljezur,PT,37.3191,-8.8033,62.17,72,1,18.99,clear sky
106,Bara,NG,10.3744,10.7288,73.18,88,77,16.8,moderate rain
107,Geraldton,AU,-28.7667,114.6,52.21,76,0,14.97,clear sky
108,Svobodnyy,RU,51.4,128.1333,64.94,88,24,4.07,few clouds
109,Sur,OM,22.5667,59.5289,88.56,66,83,13.53,broken clouds
110,Srednekolymsk,RU,67.45,153.6833,46.15,36,100,8.23,overcast clouds
111,Hazorasp,UZ,41.3194,61.0742,80.44,20,0,13.53,clear sky
112,Mackenzie,CA,55.2999,-123.1698,75.42,38,0,4.61,clear sky
113,Makakilo City,US,21.3469,-158.0858,80.98,53,0,12.66,clear sky
114,Mwinilunga,ZM,-11.7358,24.4293,53.78,57,14,4.47,few clouds
115,Saint Anthony,US,45.0205,-93.218,73.18,45,75,20.71,broken clouds
116,Aketi,CD,2.7388,23.7833,69.89,97,62,2.17,light rain
117,Tasiilaq,GL,65.6145,-37.6368,37.56,70,95,2.86,overcast clouds
118,Pala,TD,9.3642,14.9046,77.27,75,23,3.91,light rain
119,Bilibino,RU,68.0546,166.4372,43.18,70,100,7.14,overcast clouds
120,Mahibadhoo,MV,3.7833,72.9667,82.92,77,92,13.22,heavy intensity rain
121,Serenje,ZM,-13.2325,30.2352,55.42,70,83,9.4,broken clouds
122,Belle Fourche,US,44.6714,-103.8522,74.05,29,0,5.19,clear sky
123,Carutapera,BR,-1.195,-46.02,76.01,90,89,4.29,overcast clouds
124,Saint-Pierre,RE,-21.3393,55.4781,67.91,59,0,6.91,clear sky
125,Khalkhal,IR,37.6189,48.5258,60.26,53,0,1.99,clear sky
126,Yellowknife,CA,62.456,-114.3525,57.72,54,75,10.36,light intensity shower rain
127,Chokurdakh,RU,70.6333,147.9167,38.41,56,26,19.46,scattered clouds
128,Cap Malheureux,MU,-19.9842,57.6142,64.47,69,2,3.0,clear sky
129,Vaini,TO,-21.2,-175.2,73.56,83,20,3.44,few clouds
130,Kaeo,NZ,-35.1,173.7833,52.29,88,6,3.06,clear sky
131,Mahebourg,MU,-20.4081,57.7,66.49,72,20,4.61,few clouds
132,Cayenne,GF,4.9333,-52.3333,82.09,10,100,6.91,overcast clouds
133,Lagoa,PT,39.05,-27.9833,65.01,83,50,12.62,scattered clouds
134,Kirkwall,GB,58.9848,-2.9587,55.45,88,20,19.57,few clouds
135,Waverly,US,42.7392,-84.6208,81.95,43,7,20.71,clear sky
136,Auki,SB,-8.7676,160.7034,78.58,84,49,5.66,scattered clouds
137,Severo-Kurilsk,RU,50.6789,156.125,46.42,98,100,10.96,light rain
138,Sakakah,SA,29.9697,40.2064,83.77,21,0,9.42,clear sky
139,Hithadhoo,MV,-0.6,73.0833,83.05,74,85,8.86,overcast clouds
140,Dombas,NO,62.0696,9.1235,59.45,96,99,10.18,overcast clouds
141,Winnemucca,US,40.973,-117.7357,95.05,10,0,11.5,clear sky
142,Saint George,US,37.1041,-113.5841,102.79,13,0,5.01,clear sky
143,Bantry,IE,51.6833,-9.45,53.78,80,79,13.22,broken clouds
144,Alugan,PH,12.2188,125.4808,79.03,90,100,12.55,overcast clouds
145,Marsa Matruh,EG,31.3525,27.2453,77.2,88,40,9.22,scattered clouds
146,Dongsheng,CN,39.8161,109.9776,64.74,63,86,2.57,overcast clouds
147,Kavaratti,IN,10.5669,72.642,82.51,79,100,21.65,overcast clouds
148,Kulhudhuffushi,MV,6.6221,73.07,82.44,78,100,15.66,overcast clouds
149,Lata,PT,40.1629,-8.3327,61.81,80,1,7.34,clear sky
150,Morgan City,US,29.6994,-91.2068,82.99,60,100,2.3,overcast clouds
151,Kenai,US,60.5544,-151.2583,60.89,73,100,3.44,smoke
152,Bengkulu,ID,-3.8004,102.2655,75.06,83,18,3.06,few clouds
153,Te Anau,NZ,-45.4167,167.7167,42.31,96,100,2.13,light rain
154,Upernavik,GL,72.7868,-56.1549,40.23,82,100,2.55,overcast clouds
155,Tuatapere,NZ,-46.1333,167.6833,45.93,85,100,6.11,overcast clouds
156,Mazamari,PE,-11.3258,-74.5308,85.6,39,28,0.96,scattered clouds
157,Dubbo,AU,-32.25,148.6167,33.93,100,75,0.0,fog
158,Peace River,CA,56.2501,-117.286,75.51,43,75,16.11,broken clouds
159,Kieta,PG,-6.2167,155.6333,79.47,86,100,7.61,moderate rain
160,Kabinda,CD,-6.1333,24.4833,68.14,38,22,4.63,few clouds
161,Klaksvik,FO,62.2266,-6.589,54.52,97,70,17.56,broken clouds
162,Namibe,AO,-15.1961,12.1522,64.47,81,31,7.2,scattered clouds
163,Ternate,ID,0.8,127.4,79.77,80,97,1.88,overcast clouds
164,Touros,BR,-5.1989,-35.4608,77.79,81,39,12.33,scattered clouds
165,Kodiak,US,57.79,-152.4072,60.31,55,0,12.66,clear sky
166,Barrow,US,71.2906,-156.7887,59.02,63,75,17.27,broken clouds
167,Krasavino,RU,60.9614,46.4814,57.94,82,91,4.63,overcast clouds
168,Salalah,OM,17.0151,54.0924,81.54,84,98,5.28,overcast clouds
169,Sibolga,ID,1.7427,98.7792,75.74,89,94,3.38,overcast clouds
170,Port Blair,IN,11.6667,92.75,77.04,94,75,2.3,mist
