City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint Anthony,US,2022-06-19 18:19:08,45.0205,-93.218,90.05,51,20,17.27
68,Damietta,EG,2022-06-19 18:19:08,31.4165,31.8133,75.88,65,0,10.71
69,Nanortalik,GL,2022-06-19 18:19:08,60.1432,-45.2371,41.88,96,100,12.57
70,Tasiilaq,GL,2022-06-19 18:19:09,65.6145,-37.6368,50.16,74,37,5.79
71,Arona,ES,2022-06-19 18:19:09,28.0996,-16.681,73.98,71,20,24.16
72,Chokurdakh,RU,2022-06-19 18:19:09,70.6333,147.9167,45.5,70,100,12.26
73,Hithadhoo,MV,2022-06-19 18:19:10,-0.6,73.0833,83.14,67,95,4.03
74,Ornskoldsvik,SE,2022-06-19 18:19:10,63.2909,18.7153,55.63,81,99,7.74
75,Astana,KZ,2022-06-19 18:17:17,51.1801,71.446,62.55,67,40,6.71
76,Bredasdorp,ZA,2022-06-19 18:19:11,-34.5322,20.0403,51.55,81,62,3.89
77,Edgewater,US,2022-06-19 18:19:11,28.9889,-80.9023,92.19,66,40,13.8
78,Krasnoselkup,RU,2022-06-19 18:19:11,65.7,82.4667,60.28,45,43,8.79
79,Nikolskoye,RU,2022-06-19 18:19:12,59.7035,30.7861,58.91,53,74,10.65
80,Rapar,IN,2022-06-19 18:19:12,23.5667,70.6333,88.48,62,65,19.22
81,Cabo San Lucas,MX,2022-06-19 18:17:45,22.8909,-109.9124,91.62,63,0,18.41
82,Kapaa,US,2022-06-19 18:19:13,22.0752,-159.319,80.11,80,75,14.97
83,Opotiki,NZ,2022-06-19 18:19:13,-38.0833,177.2833,50.92,77,100,11.86
84,Marfino,RU,2022-06-19 18:19:13,55.7028,37.3822,70.05,51,0,22.37
85,Natchez,US,2022-06-19 18:19:14,31.5604,-91.4032,93.25,48,0,11.5
86,Mercedes,AR,2022-06-19 18:19:14,-34.6515,-59.4307,64.85,35,91,11.88
87,Mount Gambier,AU,2022-06-19 18:14:33,-37.8333,140.7667,53.33,62,86,15.03
88,Broome,US,2022-06-19 18:19:15,42.2506,-75.833,66.02,51,20,14.97
89,Portobelo,PA,2022-06-19 18:19:15,9.55,-79.65,82.96,78,77,8.01
90,Huarmey,PE,2022-06-19 18:14:38,-10.0681,-78.1522,69.87,66,22,13.58
91,Farafangana,MG,2022-06-19 18:19:15,-22.8167,47.8333,67.24,81,54,5.66
92,Leh,IN,2022-06-19 18:19:16,34.1667,77.5833,49.69,61,62,7.83
93,Nampula,MZ,2022-06-19 18:19:16,-15.1165,39.2666,64.99,67,32,3.78
94,Buraydah,SA,2022-06-19 18:20:17,26.326,43.975,99.05,5,3,10.04
95,Cidreira,BR,2022-06-19 18:20:17,-30.1811,-50.2056,60.06,63,25,10.58
96,Carnarvon,AU,2022-06-19 18:20:17,-24.8667,113.6333,66.72,69,0,13.96
97,Beringovskiy,RU,2022-06-19 18:20:18,63.05,179.3167,44.2,92,100,11.48
98,Butler,US,2022-06-19 18:20:19,39.4501,-84.5666,77.36,36,0,6.91
